date,sym,mkt,hml,wml
2018-06-25,AAPL,0.9506433,-0.5637631,0.1606125
2018-06-25,JPM,1.03336,1.249668,0.4947929
2018-06-25,TSLA,1.673327,-0.6382012,-0.1392659
2018-06-25,XOM,1.062671,0.5955022,-0.346503
2018-06-26,AAPL,0.9533931,-0.5585332,0.1755059
2018-06-26,JPM,1.03355,1.248862,0.4960529
2018-06-26,TSLA,1.679108,-0.6277335,-0.107348
2018-06-26,XOM,1.066201,0.6010741,-0.3268565
2018-06-27,AAPL,0.927791,-0.555491,0.1749224
2018-06-27,JPM,1.060817,1.244763,0.49637
2018-06-27,TSLA,1.598272,-0.6193554,-0.1092391
2018-06-27,XOM,1.014202,0.6055532,-0.3281372
2018-06-28,AAPL,0.9270693,-0.5468701,0.172831
2018-06-28,JPM,1.063917,1.194485,0.5095806
2018-06-28,TSLA,1.598818,-0.6336508,-0.104587
2018-06-28,XOM,1.014175,0.6005834,-0.326653
2018-06-29,AAPL,0.9272427,-0.5360394,0.176505
2018-06-29,JPM,1.064191,1.206207,0.5135157
2018-06-29,TSLA,1.60017,-0.580956,-0.08635261
2018-06-29,XOM,1.013096,0.5781554,-0.3338106
2018-07-02,AAPL,0.92793,-0.5331063,0.1903673
2018-07-02,JPM,1.06498,1.207506,0.528218
2018-07-02,TSLA,1.594395,-0.5952236,-0.1693404
2018-07-02,XOM,1.010686,0.5718334,-0.3662389
2018-07-03,AAPL,0.9210314,-0.538685,0.2316985
2018-07-03,JPM,1.062985,1.204453,0.5388126
2018-07-03,TSLA,1.555075,-0.6300048,0.06948908
2018-07-03,XOM,1.01448,0.5750366,-0.3912468
2018-07-05,AAPL,0.9175719,-0.5340366,0.2373225
2018-07-05,JPM,1.076152,1.186311,0.5159888
2018-07-05,TSLA,1.501047,-0.5622262,0.1594448
2018-07-05,XOM,0.9954379,0.5979138,-0.3597052
2018-07-06,AAPL,0.92358,-0.5404339,0.232622
2018-07-06,JPM,1.070821,1.190664,0.519497
2018-07-06,TSLA,1.476467,-0.5346107,0.1786294
2018-07-06,XOM,0.9835706,0.6102432,-0.3504233
2018-07-09,AAPL,0.932637,-0.472976,0.2588434
2018-07-09,JPM,1.078217,1.244402,0.5404979
2018-07-09,TSLA,1.501969,-0.3466613,0.2519932
2018-07-09,XOM,0.9759106,0.556412,-0.370907
2018-07-10,AAPL,0.9323146,-0.4580161,0.2679889
2018-07-10,JPM,1.077752,1.269576,0.5565665
2018-07-10,TSLA,1.502017,-0.3839651,0.2287355
2018-07-10,XOM,0.9758093,0.5345037,-0.3839408
2018-07-11,AAPL,0.9477078,-0.4236215,0.2657291
2018-07-11,JPM,1.058465,1.226487,0.558922
2018-07-11,TSLA,1.50459,-0.3773271,0.228472
2018-07-11,XOM,0.9827567,0.5499028,-0.3846928
2018-07-12,AAPL,0.9484879,-0.4405859,0.2654986
2018-07-12,JPM,1.060729,1.181271,0.5576762
2018-07-12,TSLA,1.492855,-0.1720922,0.2321252
2018-07-12,XOM,0.9826641,0.5452318,-0.384428
2018-07-13,AAPL,0.9487717,-0.4381428,0.2648774
2018-07-13,JPM,1.062008,1.186644,0.5550248
2018-07-13,TSLA,1.490339,-0.1818048,0.2354409
2018-07-13,XOM,0.9792021,0.5306625,-0.3794481
2018-07-16,AAPL,0.9461419,-0.4239984,0.2728592
2018-07-16,JPM,1.031468,1.356739,0.6527584
2018-07-16,TSLA,1.516281,-0.3301973,0.1504569
2018-07-16,XOM,0.9948736,0.4399358,-0.4308805
2018-07-17,AAPL,0.9438801,-0.4005812,0.2694616
2018-07-17,JPM,1.031974,1.347887,0.6533258
2018-07-17,TSLA,1.526535,-0.4480818,0.1682425
2018-07-17,XOM,0.993675,0.4490209,-0.4318753
2018-07-18,AAPL,0.9437803,-0.4360683,0.2508295
2018-07-18,JPM,1.031882,1.308987,0.6331142
2018-07-18,TSLA,1.526108,-0.4277069,0.1789788
2018-07-18,XOM,0.9933919,0.417865,-0.4475491
2018-07-19,AAPL,0.9419549,-0.4402984,0.2466942
2018-07-19,JPM,1.032168,1.309093,0.6337944
2018-07-19,TSLA,1.527282,-0.4231981,0.1831642
2018-07-19,XOM,0.9927569,0.4167871,-0.4478168
2018-07-20,AAPL,0.94306,-0.4418366,0.2438405
2018-07-20,JPM,1.024788,1.318124,0.649456
2018-07-20,TSLA,1.54092,-0.4429196,0.1518328
2018-07-20,XOM,0.9972165,0.4096147,-0.458219
2018-07-23,AAPL,0.9426716,-0.4385288,0.2457987
2018-07-23,JPM,1.023133,1.339643,0.6632747
2018-07-23,TSLA,1.549239,-0.5771978,0.06712916
2018-07-23,XOM,0.9975009,0.3992016,-0.4641386
2018-07-24,AAPL,0.9438404,-0.441657,0.2255593
2018-07-24,JPM,1.022121,1.340516,0.6750662
2018-07-24,TSLA,1.546282,-0.5704688,0.1052623
2018-07-24,XOM,0.999661,0.3925201,-0.5013884
2018-07-25,AAPL,0.9467422,-0.4043807,0.2020169
2018-07-25,JPM,1.019636,1.311865,0.6920398
2018-07-25,TSLA,1.535027,-0.6993689,0.1881383
2018-07-25,XOM,0.9954898,0.3469998,-0.4719643
2018-07-26,AAPL,0.9514156,-0.3922057,0.1870411
2018-07-26,JPM,1.01991,1.311783,0.6900537
2018-07-26,TSLA,1.537603,-0.691713,0.1792201
2018-07-26,XOM,1.000222,0.3592308,-0.4872407
2018-07-27,AAPL,0.9527483,-0.397138,0.2011492
