series,alpha_annual,alpha_t,r2,b_mkt_rf,b_smb,b_hml,b_wml,t_mkt_rf,t_smb,t_hml,t_wml
paper 10-min,0.23572750705886195,4.934306816857338,0.01762966478125616,0.019083990029518584,0.014065778994112684,-0.014563961652951539,0.06472801039682691,0.9990190603509085,0.5835130545463602,-0.6736398347024237,3.963811516138428
market 10-min,-0.008252087607309317,-0.19198171100583053,0.017951687357969814,0.03062488459165277,0.01609672927563691,-0.012349076206866308,0.056498610131089574,1.677805398044781,0.7021873387199841,-0.5817382820687942,3.4128574616217056
market 60-min net@0.5bp,-0.15958288349351651,-5.787676923125017,0.023609546471429543,0.03583869288637804,-0.006403479053413176,-0.007175153999729177,0.03997343207942013,1.9644870559081427,-0.38132414338187953,-0.5611123070580442,3.6969968797330846
