fold,n_test,epochs,oosR2,rankIC,IC_t
2021,1831883,10,0.00017613497502599884,0.019694139120802596,9.412259859089772
2022,1851050,3,0.0005573146373427651,0.02803432121335645,11.616633340763594
2023,1810199,5,0.00027365867386242027,0.02392347266564274,12.543372474877565
2024,1792147,5,-9.401665405017745e-05,0.02149992028301492,10.681738178862952
2025,1794660,8,0.0001129968750800403,0.020952563829654533,10.107037525382003
2026,1110047,6,-0.00014006923233522706,0.01107480339390294,3.755317652093213
