qdate,gross,fees,traded,sold,trades
7850,89.97,577.86,39005407.71,19502748.84,1187
7851,296.36,614.32,41364406.36,20682351.36,1142
7852,1859.36,650.99,43876283.08,21939071.22,1177
7853,1611.73,654.99,44018833.83,22010222.78,1193
7857,-2780.60,680.75,45996026.17,22996622.79,1195
7858,8101.97,742.86,50087561.88,25047831.93,1284
7859,659.22,612.98,41344211.33,20672435.27,1237
7860,-136.72,634.53,42670880.09,21335371.69,1203
7863,-1400.15,611.14,41298159.04,20648379.44,1164
7864,-364.06,651.42,43903464.72,21951550.33,1238
7865,5418.31,703.17,47354812.91,23680115.61,1189
7866,-2773.68,669.07,45082954.20,22540090.26,1216
7867,-603.16,694.03,46667606.11,23333501.48,1225
7870,366.71,642.58,43266376.97,21633371.84,1236
7871,-6742.68,584.59,39193934.19,19593595.75,1227
7872,4464.21,644.81,43649069.77,21826766.99,1202
7873,162.82,662.87,44635797.55,22317980.18,1176
7874,4004.70,721.60,48621559.29,24312782.00,1219
7877,4563.80,650.66,43986783.93,21995673.86,1198
7878,-8335.66,562.65,38121273.70,19056469.02,1195
7879,9885.38,643.56,43418385.87,21714135.63,1159
7880,8471.13,667.42,45063212.53,22535841.83,1212
7881,7682.53,641.55,43324807.87,21666245.20,1241
7884,-3641.76,637.55,43020593.48,21508475.86,1165
7885,1845.46,651.43,43941797.62,21971821.54,1171
7886,-5495.25,531.23,35797628.03,17896066.39,1127
7887,2875.21,652.34,43985325.71,21994100.46,1199
7888,1888.42,620.64,41953677.87,20977783.15,1175
7891,73.28,604.36,40634816.72,20317445.01,1178
7892,-10154.85,588.62,39747772.13,19868808.64,1172
7893,1254.73,597.20,40207961.40,20104608.07,1195
7894,6694.56,671.16,45300328.95,22653511.75,1217
7895,4613.39,651.56,43913592.12,21959102.76,1183
7898,-4547.40,630.53,42607401.21,21301426.91,1150
7899,5344.02,709.18,48036518.71,24020931.36,1229
7900,683.93,570.49,38430537.63,19215610.77,1188
7901,-6851.95,596.66,40169753.67,20081450.86,1191
7902,-2003.69,600.25,40514672.21,20256334.26,1136
7905,6464.31,656.08,44211463.53,22108963.92,1202
7906,4172.92,623.44,42077083.39,21040628.16,1155
7907,-760.86,606.27,40874593.64,20436916.39,1131
7908,4080.15,681.85,46090698.94,23047389.55,1211
7909,4587.93,594.30,40070716.04,20037651.98,1169
7912,1497.65,645.51,43461520.87,21731509.25,1148
7913,159.88,650.66,43697775.34,21848967.61,1220
7914,-8298.21,619.70,42010985.73,21001343.76,1172
7915,3187.43,659.55,44531723.72,22267455.57,1183
7916,2909.60,685.18,46448599.90,23225754.76,1148
7920,-586.01,588.37,39950280.33,19974847.16,1162
7921,-1174.73,659.68,44328169.83,22163497.55,1195
7922,3223.75,606.04,40854530.89,20428877.32,1180
7923,-3057.93,597.74,40160085.64,20078513.85,1134
7926,-3206.46,610.34,41257791.41,20627292.48,1208
7927,1163.41,626.28,42294212.37,21147687.89,1223
7928,3166.67,638.62,43133057.61,21568112.14,1201
7929,-610.17,667.36,45142889.72,22571139.78,1210
7930,570.90,647.54,43616947.78,21808759.34,1224
7933,8934.71,606.28,40879147.52,20444041.11,1265
7934,4994.78,632.24,42726433.68,21365714.23,1207
7935,1839.15,596.63,40129050.67,20065444.91,1176
7936,-4458.37,563.86,37976376.03,18985958.83,1128
7937,101.64,611.31,41364595.31,20682348.47,1177
7940,-6185.55,584.26,39468505.64,19731160.04,1236
7941,8577.04,675.60,45831356.71,22919966.88,1244
7942,-990.38,671.02,45240216.74,22619613.18,1215
7943,3267.04,643.78,43372581.08,21687924.06,1263
7944,6503.89,644.46,43472404.30,21739454.09,1229
7947,4116.52,661.97,44463494.20,22233805.36,1249
7948,5218.12,632.65,42708756.96,21356987.53,1227
7949,3724.32,681.90,45851822.12,22927773.22,1195
7950,1872.41,650.05,43904788.75,21953330.59,1174
7951,-743.38,614.40,41336844.51,20668050.57,1212
7954,283.39,608.11,40999614.71,20499949.05,1184
7955,4003.60,606.07,40846292.44,20425148.02,1198
7956,-3910.15,616.93,41609005.30,20802547.58,1228
7957,5673.96,660.74,44556178.61,22280926.28,1195
7958,-2278.60,575.38,38847251.18,19422486.29,1185
7961,2718.34,628.58,42463955.56,21233336.95,1195
7962,6585.50,670.29,45170870.62,22588728.06,1202
7963,-3341.07,584.29,39467103.07,19731881.00,1192
7964,-4350.62,611.90,41257425.73,20626537.56,1144
7965,-1601.25,621.92,42046851.50,21022625.13,1190
7968,0.00,0.00,0.00,0.00,0
7969,-5999.53,619.48,41888606.23,20941303.35,1191
7970,-6242.36,617.67,41753826.56,20873792.10,1246
7971,2958.72,559.53,37838722.81,18920840.76,1183
7972,-2312.33,651.33,43987926.31,21992806.99,1213
7975,-666.00,643.22,43539970.47,21769652.24,1155
7976,-4301.80,580.70,39455006.79,19725352.50,1193
7977,3018.18,652.51,44185187.92,22094103.05,1244
7978,-7617.20,635.15,43051981.69,21522182.24,1263
7979,550.83,630.38,42814281.09,21407415.96,1200
7982,1863.15,604.94,40975924.72,20488893.94,1169
7983,5211.07,617.24,41860427.17,20932819.12,1193
7984,-2079.10,612.35,41573033.79,20785477.34,1195
7985,4240.05,619.94,41900003.39,20952121.72,1186
7986,1282.25,618.84,41846505.92,20923894.08,1146
7989,3937.37,657.08,44344051.10,22173994.23,1206
7990,-5891.04,565.04,38280099.89,19137104.43,1141
7991,6292.50,604.32,40927542.41,20466917.46,1217
7992,-927.97,627.22,42552737.99,21275905.01,1211
7993,-4858.87,568.56,38504017.80,19249579.47,1204
7996,-17819.08,585.10,39582567.79,19782374.36,1181
7997,9523.50,662.42,44857730.92,22433627.21,1225
7998,3127.51,638.55,43162524.76,21582826.13,1182
8000,1329.38,302.65,20689074.77,10224724.46,644
8003,-2727.82,598.27,40484658.58,20240965.38,1210
8004,3386.91,601.93,40668573.38,20335980.14,1266
8005,10372.47,674.19,45515857.71,22763115.09,1306
8006,8254.50,599.75,40520182.32,20264218.41,1215
8007,4860.34,656.63,44170646.09,22087753.22,1272
8010,1966.95,612.13,41417784.06,20709875.51,1205
8011,3407.69,627.22,42455634.58,21229521.13,1234
8012,1393.13,661.73,44770374.52,22385883.82,1199
8013,1392.76,595.77,40321303.56,20161348.16,1189
8014,5267.76,698.64,47308126.71,23656697.23,1234
8017,-6564.73,607.55,40996100.18,20494767.72,1216
8018,-60.52,638.30,43035702.93,21517821.21,1243
8019,-10318.67,646.97,43911695.78,21950688.55,1206
8020,-6249.78,624.00,42261303.38,21127526.80,1236
8021,12638.66,640.36,43182226.11,21597432.38,1242
8024,5909.98,625.76,42340944.80,21173427.39,1200
8025,-938.14,601.31,40724202.05,20361631.95,1241
8026,4477.20,657.19,44392359.50,22198418.35,1173
8027,5427.62,643.51,43532760.11,21769093.87,1154
8031,5997.22,651.43,44048726.11,22027361.66,1108
8032,7342.22,641.18,43271593.90,21639468.06,1152
