qdate,gross,fees,traded,sold,trades
7857,-876.37,330.01,22267869.00,11133496.31,484
7858,5743.28,312.84,21115919.70,10560831.49,478
7859,-2088.48,295.44,19997260.92,9997586.22,472
7860,2178.73,301.07,20330999.14,10166588.93,454
7863,3611.68,281.32,19001879.06,9502745.37,457
7864,1487.47,295.22,19944947.75,9973217.61,470
7865,464.79,322.58,21762754.18,10881609.49,444
7866,928.22,325.00,21918226.49,10959577.36,481
7867,2434.92,330.86,22338681.55,11170558.24,481
7870,-2917.78,298.78,20122193.66,10059637.94,483
7871,-3684.08,266.67,17786946.89,8891631.41,487
7872,1692.24,292.27,19789422.56,9895557.41,463
7873,-1688.24,318.91,21485120.25,10764030.56,477
7874,650.19,341.28,23105246.21,11552948.20,499
7877,5238.50,310.07,20920141.08,10462689.79,456
7878,-2945.99,274.57,18506726.98,9251890.50,474
7879,2773.70,324.45,21847837.10,10925305.40,463
7880,1557.81,336.35,22693542.65,11347550.23,474
7881,4677.27,312.21,21101478.50,10553077.89,470
7884,-2607.68,307.21,20635800.01,10316596.17,466
7885,-1754.13,287.38,19425152.96,9711699.41,446
7886,-1593.17,264.43,17884382.60,8941394.71,479
7887,525.31,292.25,19761341.19,9880933.25,484
7888,1949.11,289.39,19648385.03,9825167.07,456
7891,-3272.70,277.89,18697053.38,9346890.34,466
7892,-6403.55,294.77,19923587.49,9958591.97,467
7893,-4065.00,289.28,19517272.68,9756603.84,461
7894,2536.28,334.99,22575541.41,11289038.84,474
7895,198.28,306.69,20676228.20,10338213.24,455
7898,-191.60,329.99,22218037.63,11108923.01,466
7899,4306.81,337.55,22839800.47,11422053.64,465
7900,-907.42,274.96,18518039.70,9258566.14,455
7901,-7052.08,293.16,19678535.17,9835741.54,487
7902,1044.40,316.00,21382923.02,10691983.70,451
7905,-935.46,281.04,18912721.48,9455893.01,454
7906,1651.89,246.06,16608244.15,8304948.02,442
7907,-3351.88,300.71,20359512.27,10178080.20,455
7908,6044.04,306.08,20605135.21,10305589.63,454
7909,-1630.93,262.93,17684184.99,8841277.03,469
7912,-314.37,313.01,21076015.43,10537850.52,467
7913,-1791.70,297.30,19969831.88,9984020.09,475
7914,-322.73,299.57,20255157.08,10127417.17,480
7915,838.38,330.57,22190117.13,11095477.75,463
7916,-78.21,310.97,21098763.56,10549342.68,467
7920,342.74,296.79,20119383.20,10059862.97,469
7921,-2251.44,319.71,21441873.33,10719810.94,471
7922,-3367.32,291.70,19730547.27,9863589.98,464
7923,688.45,291.47,19538670.40,9769679.43,442
7926,-3344.11,273.46,18521379.21,9259017.55,449
7927,-1488.70,270.88,18337800.98,9168156.14,485
7928,6645.79,321.37,21712375.98,10859510.89,494
7929,142.03,296.57,20054223.00,10027182.52,463
7930,-1814.99,322.24,21806229.90,10902207.46,479
7933,7079.23,300.58,20231944.47,10119511.85,488
7934,1027.62,310.07,20958676.73,10479852.18,458
7935,1019.85,282.62,18983330.12,9492174.98,449
7936,-6568.74,266.21,17953343.26,8973387.26,451
7937,-1432.92,290.66,19520037.37,9759302.22,459
7940,-5827.54,258.62,17500077.77,8747125.11,470
