qdate,gross,fees,traded,sold,trades
7850,-526.56,577.88,39007674.33,19503573.89,1187
7851,682.65,614.33,41364537.24,20682609.95,1142
7852,1715.30,651.02,43878215.32,21939965.31,1177
7853,2403.96,655.02,44020741.20,22011572.58,1193
7857,-2536.14,680.76,45996343.33,22996903.60,1195
7858,5776.95,742.80,50086158.68,25045967.81,1284
7859,-341.71,612.97,41344472.77,20672065.54,1237
7860,-396.11,634.54,42671878.38,21335741.13,1203
7863,-1181.86,611.14,41297369.26,20648093.70,1164
7864,-1617.22,651.41,43904208.92,21951295.85,1238
7865,5334.23,703.17,47355471.02,23680402.62,1189
7866,-1981.43,669.09,45083632.43,22540825.51,1216
7867,-660.40,694.01,46665794.04,23332566.82,1225
7870,-193.17,642.56,43265211.30,21632509.07,1236
7871,-6243.90,584.61,39194370.67,19594063.39,1227
7872,5212.95,644.83,43649915.02,21827563.99,1202
7873,-1029.40,662.87,44636871.25,22317920.93,1176
7874,3906.22,721.63,48623758.25,24313832.23,1219
7877,4133.66,650.68,43988895.97,21996514.82,1198
7878,-9728.62,562.64,38121930.19,19056100.79,1195
7879,10134.66,643.55,43417405.53,21713770.09,1159
7880,6796.91,667.40,45063760.17,22535278.54,1212
7881,6158.26,641.52,43323777.32,21664967.79,1241
7884,-5292.10,637.49,43018229.70,21506468.80,1165
7885,3170.75,651.46,43942521.76,21972846.25,1171
7886,-6805.13,531.19,35796286.72,17894740.79,1127
7887,3552.64,652.37,43986554.44,21995053.54,1199
7888,537.42,620.61,41952723.10,20976630.27,1175
7891,-851.29,604.35,40635068.02,20317108.36,1178
7892,-10741.85,588.64,39749771.16,19869514.66,1172
7893,1880.58,597.22,40208812.70,20105346.64,1195
7894,6079.47,671.14,45299366.40,22652722.94,1217
7895,3403.98,651.55,43913910.62,21958657.30,1183
7898,-4280.37,630.55,42608363.36,21302041.50,1150
7899,5598.28,709.12,48032164.06,24018881.17,1229
7900,-2734.00,570.42,38428751.79,19213008.89,1188
7901,-8622.05,596.63,40169397.06,20080387.51,1191
7902,-3939.10,600.23,40515218.49,20255639.70,1136
7905,5834.21,656.07,44210735.29,22108284.75,1202
7906,3368.45,623.44,42077717.52,21040542.98,1155
7907,-1977.09,606.27,40875712.66,20436867.79,1131
7908,3395.35,681.84,46090731.85,23047063.60,1211
7909,2876.91,594.26,40069565.68,20036221.30,1169
7912,1682.14,645.52,43462133.04,21731907.59,1148
7913,-812.05,650.64,43696743.21,21847965.58,1220
7914,-6620.21,619.73,42011102.02,21002240.91,1172
7915,2780.36,659.55,44531902.88,22267341.62,1183
7916,1780.82,685.20,46450833.76,23226307.29,1148
7920,-1209.56,588.35,39949818.93,19974304.68,1162
7921,-683.44,659.69,44328414.64,22163865.61,1195
7922,2745.39,606.03,40854427.17,20428586.28,1180
7923,-3115.62,597.74,40160487.95,20078686.16,1134
7926,-4781.69,610.31,41257700.60,20626459.46,1208
7927,-986.99,626.21,42291290.69,21145151.86,1223
7928,2816.87,638.67,43136447.11,21569631.99,1201
7929,-232.84,667.36,45141957.54,22570862.36,1210
7930,-782.61,647.50,43614922.57,21807069.99,1224
7933,8581.79,606.24,40876992.75,20442787.27,1265
7934,3512.16,632.21,42725378.60,21364445.38,1207
7935,64.24,596.63,40131271.49,20065667.86,1176
7936,-5311.58,563.85,37976802.85,18985745.64,1128
7937,141.08,611.28,41362542.48,20681341.78,1177
7940,-5050.95,584.27,39468050.80,19731499.92,1236
7941,5618.91,675.54,45830341.83,22917980.36,1244
7942,-1522.92,671.00,45239789.18,22619133.13,1215
7943,-861.38,643.70,43371392.56,21685265.59,1263
7944,2194.82,644.38,43470999.25,21736597.04,1229
7947,3716.99,661.95,44462375.14,22233046.06,1249
7948,5013.95,632.64,42708524.49,21356769.22,1227
7949,-403.52,681.86,45853112.99,22926354.73,1195
7950,1660.77,650.03,43903702.19,21952681.48,1174
7951,-1005.25,614.38,41336233.09,20667613.92,1212
7954,-1022.80,608.06,40997237.54,20498107.37,1184
7955,1819.67,606.00,40844011.33,20422915.49,1198
7956,-5410.56,616.91,41609461.36,20802025.40,1228
7957,3939.49,660.70,44555139.30,22279539.39,1195
7958,-2161.61,575.38,38847508.89,19422673.64,1185
7961,1949.64,628.58,42464825.07,21233387.35,1195
7962,5985.29,670.29,45171856.10,22588920.69,1202
7963,-2951.62,584.32,39468795.96,19732922.17,1192
7964,-5106.69,611.91,41258854.07,20626873.69,1144
7965,-1935.46,621.92,42046739.21,21022401.87,1190
7968,0.00,0.00,0.00,0.00,0
7969,-5773.59,619.49,41889548.18,20941887.29,1191
7970,-3810.10,617.69,41752348.30,20874269.10,1246
7971,1693.34,559.54,37840146.23,18920919.78,1183
7972,-1859.10,651.34,43987564.88,21992852.89,1213
7975,48.12,643.23,43539546.87,21769797.49,1155
7976,-3131.98,580.73,39455455.08,19726161.55,1193
7977,2169.62,652.52,44186691.89,22094430.76,1244
7978,-9571.67,635.12,43052058.75,21521243.54,1263
7979,-735.94,630.33,42812123.69,21405693.87,1200
7982,1956.43,604.92,40974345.20,20488150.81,1169
7983,4443.01,617.23,41860556.96,20932499.99,1193
7984,-1025.96,612.33,41571001.49,20784987.76,1195
7985,3865.11,619.96,41901635.55,20952750.33,1186
7986,107.52,618.85,41848201.81,20924154.66,1146
7989,3827.62,657.08,44343623.76,22173725.69,1206
7990,-6167.84,565.03,38279744.30,19136788.23,1141
7991,5770.32,604.33,40928438.70,20467104.51,1217
7992,-1592.09,627.22,42553697.71,21276052.81,1211
7993,-6473.38,568.56,38505406.72,19249466.67,1204
7996,-17540.93,585.07,39580607.30,19781533.18,1181
7997,9029.17,662.44,44860165.76,22434597.47,1225
7998,1672.72,638.56,43164905.44,21583289.09,1182
8000,2635.63,302.66,20688617.87,10225149.12,644
8003,-3867.26,598.30,40487478.46,20241805.60,1210
8004,1537.46,601.88,40666757.29,20334147.37,1266
8005,4396.75,674.03,45510372.40,22757384.58,1306
8006,4658.85,599.68,40518714.10,20261686.48,1215
8007,2761.75,656.59,44169668.62,22086215.19,1272
8010,401.73,612.09,41416124.31,20708263.02,1205
8011,-394.24,627.17,42455538.99,21227572.38,1234
8012,1452.14,661.73,44770099.30,22385775.72,1199
8013,1357.56,595.76,40320389.61,20160873.59,1189
8014,2708.37,698.58,47306324.41,23654516.39,1234
8017,-9204.35,607.54,40998184.24,20494489.95,1216
8018,1704.06,638.33,43035885.43,21518794.75,1243
8019,-11763.36,646.95,43912115.75,21950176.19,1206
8020,-7166.99,623.98,42260638.01,21126735.51,1236
8021,9395.48,640.26,43178622.39,21594008.94,1242
8024,6321.28,625.75,42339952.97,21173137.12,1200
8025,-1494.98,601.29,40723820.75,20361162.88,1241
8026,3452.70,657.16,44391821.16,22197636.93,1173
8027,5809.02,643.50,43531908.45,21768858.73,1154
8031,3819.14,651.39,44048098.23,22025958.69,1108
8032,5464.87,641.14,43270956.30,21638210.58,1152
8033,5831.97,679.89,45956174.85,22981003.41,1120
8034,5647.35,688.12,46424853.91,23215250.63,1145
8035,4526.74,659.31,44667444.31,22335985.52,1125
8045,-2512.39,635.08,42999047.55,21498267.58,1246
8046,3367.75,648.12,43907145.87,21955256.81,1252
8047,8569.78,654.87,44481628.96,22245099.37,1203
8048,-4522.14,630.57,42685423.15,21340450.51,1228
8049,6151.90,640.75,43532713.53,21769432.71,1200
8053,-732.12,653.51,44071437.07,22035352.47,1267
8054,-5210.93,675.10,45572800.09,22783794.58,1257
8055,-1502.42,649.73,43826739.64,21912618.62,1246
8056,7975.75,683.74,46039142.88,23023559.31,1295
8059,169.43,435.26,29642697.03,14706615.29,1224
8060,-3066.61,672.41,45476552.98,22736743.19,1324
8061,6421.17,705.14,47460228.43,23783269.96,1300
8062,4776.80,687.37,46231842.72,23118309.76,1310
8063,-1026.10,751.67,50516948.95,25257961.43,1301
8066,2827.51,673.84,45613675.11,22808251.31,1265
8067,-5883.23,663.36,44709849.16,22351982.96,1235
8068,-3342.33,719.28,48560921.47,24278789.57,1217
8069,-5844.64,647.54,43965898.56,21980026.96,1220
8070,-2670.18,690.59,46669222.86,23333276.34,1240
8073,4517.61,749.35,50607748.99,25306133.30,1244
8074,4521.44,657.47,44443453.09,22223987.26,1226
8075,4307.09,679.90,45797770.84,22901038.97,1233
8076,6225.71,629.96,42537348.73,21271787.22,1248
8077,-9351.76,718.07,48659567.95,24325108.10,1261
8080,-9088.26,693.33,46695541.42,23343226.58,1249
8081,23.31,553.16,37145261.39,18572642.35,1212
8082,-144.28,725.93,49098350.97,24549103.35,1249
8083,-267.77,740.77,49792651.22,24896191.72,1237
8084,-4464.87,659.62,44305755.97,22150645.55,1255
8088,-494.49,639.76,43051868.42,21525686.96,1199
8089,5561.82,668.00,44955769.10,22480665.45,1263
8090,-5590.59,601.17,40473366.28,20233887.84,1296
8091,-724.70,739.08,49691540.28,24845407.79,1263
8094,7438.59,737.23,49616370.40,24811904.49,1320
8095,6209.68,722.11,48580374.50,24293292.10,1285
8096,-121.23,696.73,46979829.51,23489854.14,1295
8097,-7934.22,701.11,47170267.10,23581166.44,1253
8098,-14921.77,732.42,49507744.81,24746411.52,1264
8101,-10696.34,684.02,46099291.46,23044297.56,1250
8102,0.00,0.00,0.00,0.00,0
8103,-2721.84,689.43,46453835.03,23225556.59,1255
8104,4369.05,703.73,47202668.88,23603518.96,1254
8105,-7036.96,661.62,44559267.71,22276115.38,1279
8108,8277.01,713.48,48035391.14,24021834.08,1296
8109,-2554.13,729.95,49017007.34,24507226.61,1275
8110,10135.44,734.87,49448687.68,24729411.56,1284
8111,6682.55,729.15,49008081.60,24507382.07,1270
8112,4463.30,681.43,45836897.46,22920680.38,1244
8115,4497.58,713.37,48242440.27,24123468.92,1285
8116,-4824.46,690.72,46565825.94,23280500.74,1239
8117,3150.99,689.05,46476470.53,23239810.77,1204
8118,6327.73,722.88,48771972.73,24389150.23,1253
8119,6605.31,718.22,48287911.13,24147258.22,1204
8122,11511.06,708.43,47754661.55,23883086.30,1206
8123,4051.50,700.92,47394934.17,23699492.83,1199
8124,5365.70,673.63,45577469.52,22791417.61,1233
8125,6272.08,721.28,48818662.01,24412467.04,1264
8126,-7844.10,719.15,48448051.72,24220103.81,1208
8129,2074.79,660.60,44548124.91,22275099.85,1218
8130,1115.23,664.36,44859447.49,22430281.36,1247
8131,3943.30,750.87,50666506.12,25335224.71,1257
8132,6442.38,775.84,52455741.67,26231092.03,1238
8133,2691.60,709.31,47858386.91,23930539.25,1227
8136,1086.61,583.99,39326972.81,19664029.71,1183
8137,7926.45,706.67,47361014.11,23684470.28,1239
8138,-389.92,680.98,45883512.70,22941561.39,1197
8139,-401.86,728.18,49056885.12,24528241.64,1237
8143,2896.59,600.01,40306865.78,20154881.18,1212
8144,2158.88,700.17,47182156.01,23592157.44,1219
8145,-5105.66,706.84,47548954.80,23771924.57,1222
8146,1955.91,728.69,48879884.50,24440920.20,1257
8147,6487.17,667.35,44936007.93,22471247.55,1295
8150,4838.71,767.08,51397563.86,25701201.29,1323
8151,-424.73,630.82,42201933.69,21100754.48,1311
8152,3292.81,759.66,50908931.38,25456112.09,1322
8153,1423.77,717.93,47982739.19,23992081.48,1282
8154,13051.49,695.37,46430022.26,23221536.88,1258
8157,15536.23,655.81,43739926.84,21877731.53,1316
8158,1098.90,661.57,44158651.98,22079875.44,1264
8159,-2204.39,749.92,50207129.01,25102462.31,1282
8160,7393.64,659.27,44050246.59,22028820.11,1290
8161,1990.89,719.25,47710243.49,23856117.19,1308
8164,-13274.70,691.31,45942202.00,22964463.65,1334
8165,2363.03,688.71,45859621.18,22930992.10,1320
8166,-2273.13,702.05,46667203.20,23332465.03,1268
8167,-4357.06,648.06,43015001.48,21505322.21,1318
8168,2294.92,735.05,49019539.23,24510917.07,1268
8171,-2641.99,710.04,47486100.77,23741729.39,1246
8172,-1628.17,674.39,45024754.91,22511563.37,1247
8173,-15151.50,554.60,37059638.53,18522243.52,1264
8174,2352.33,707.08,47124016.28,23563184.31,1320
8175,-412.81,722.58,48018557.99,24009072.58,1313
8178,-1849.10,639.17,42661874.80,21330012.85,1262
8179,-7479.06,739.44,49164402.86,24578461.90,1252
8180,5218.22,639.92,42727888.44,21366553.33,1271
8181,4004.07,633.33,42213511.61,21108757.84,1226
8182,2252.18,684.79,45767948.34,22885100.26,1219
8186,4263.83,703.88,46766644.77,23385454.30,1260
8187,2620.17,728.48,48733657.36,24368138.76,1263
8188,-16494.56,636.77,42564611.07,21274058.25,1232
8189,5892.44,687.92,45956849.43,22981370.93,1276
8192,5467.86,673.27,44760601.56,22383034.71,1249
8193,3338.26,743.64,49600648.49,24801993.38,1232
8194,-15.30,656.30,43901789.20,21950886.95,1235
8195,-6646.31,638.66,42608741.69,21301047.69,1219
8196,10913.49,810.08,53864850.87,26937882.18,1318
8199,2183.31,657.58,43719639.75,21860911.54,1318
8200,-4690.35,616.54,40806595.93,20400952.79,1266
8201,2684.29,701.38,46659223.90,23330954.09,1311
8202,2821.69,689.39,45578288.40,22790555.05,1293
8203,-22.26,652.25,43086468.58,21543223.16,1316
8207,-3197.55,748.57,49825746.23,24911274.34,1265
8208,2202.63,721.65,47950370.11,23976286.37,1307
8209,-1664.73,679.94,44997203.94,22497769.61,1281
8210,2938.32,723.49,48113313.59,24058125.95,1291
8213,9301.22,685.71,45492733.54,22751017.39,1300
8214,7720.94,668.24,44563618.04,22285669.49,1279
8215,-217.63,695.77,46269930.36,23134856.37,1270
8216,7660.27,716.49,47714795.01,23861227.64,1300
8217,396.63,772.89,51001777.18,25501086.90,1288
8221,-8331.45,677.06,44724651.50,22358160.03,1266
8222,5868.59,702.62,46774514.20,23390191.39,1263
8223,8707.57,657.13,43870749.28,21939728.43,1237
8224,-1866.54,681.14,45316211.24,22657172.35,1245
8227,4834.49,689.99,45915407.20,22960120.85,1251
8228,3200.27,652.72,43387128.50,21695164.39,1262
8229,-3572.88,675.27,44647950.56,22322188.84,1256
8230,6028.92,734.68,48951763.44,24478896.18,1299
8231,-1114.40,643.31,42582161.97,21290523.78,1222
8234,-3843.85,621.83,41411283.99,20703720.06,1273
8235,3220.45,618.25,41108812.79,20556016.62,1217
8236,1270.63,578.36,38538471.70,19269871.16,1261
8237,8573.01,718.31,47742219.42,23875396.22,1283
8238,-348.97,735.36,49061313.26,24530482.15,1266
8241,2226.23,648.33,43425275.40,21713750.81,1247
8242,-6492.16,672.99,44974696.20,22484102.02,1262
8243,6383.47,676.78,45023742.78,22515063.13,1255
8244,7055.83,686.16,46017042.48,23012049.15,1259
8245,-2309.38,678.89,45469979.57,22733835.10,1239
8248,-41.21,664.89,44369722.15,22184840.47,1243
8249,-1048.21,583.18,39032883.18,19515917.49,1240
8250,-786.50,683.64,45765329.47,22882271.48,1266
8251,-520.75,691.08,46022580.98,23011030.11,1239
8252,4529.81,715.15,47597353.65,23800941.73,1230
8255,-7958.31,667.05,44358171.78,22175106.74,1199
8256,684.21,648.39,43274287.22,21637485.71,1230
8257,99.29,664.34,44340363.97,22170231.63,1216
8258,1773.71,660.49,44082992.88,22042383.30,1261
8259,4539.74,671.59,44902340.00,22453439.87,1198
8262,656.79,672.20,44996179.38,22498418.09,1198
8263,1131.38,655.34,43697943.60,21849537.49,1213
8264,739.34,625.19,41746649.14,20873694.24,1216
8265,-784.31,644.10,42974113.98,21486664.84,1199
8266,-2122.50,673.12,45189491.35,22593684.43,1200
8269,1245.90,577.39,38570593.12,19285919.51,1203
8270,112.66,672.36,44781444.99,22390778.83,1183
8271,981.76,685.14,45727852.37,22864417.06,1210
8272,-1455.20,659.83,43939081.74,21968813.27,1261
8273,-2825.14,622.70,41572381.41,20784778.14,1245
8276,2897.87,750.73,49720071.38,24861484.63,1323
8277,2180.68,679.65,45314787.79,22658484.24,1248
8278,-6272.72,599.80,39894885.41,19944306.34,1213
8279,-7031.99,651.50,43276031.94,21634499.98,1278
8280,2033.42,607.37,40027110.80,20014572.11,1251
8284,-4048.14,652.63,43372797.63,21684374.75,1288
8285,-56.87,668.31,44316813.59,22158378.36,1256
8286,1571.07,642.71,42672388.48,21336979.77,1240
8287,2836.00,712.23,47544842.47,23773839.24,1243
8290,2173.25,607.85,40684300.18,20343236.72,1178
8291,872.69,580.40,38422993.16,19211932.92,1259
8292,1286.11,625.53,41504603.93,20752945.02,1235
8293,-761.48,665.63,44362940.64,22181089.58,1313
8294,9523.64,699.55,46125781.61,23067652.63,1261
8297,-1757.54,655.21,43258908.57,21628575.51,1225
8298,2479.22,731.72,48277129.29,24139804.25,1286
8299,2240.18,645.00,42507568.08,21254904.13,1274
8300,-2251.21,797.68,53035322.88,26516535.83,1330
8301,-673.34,654.21,43019464.11,21509395.38,1271
8304,-1620.90,726.77,47847391.05,23922885.08,1355
8305,2623.28,598.23,39504877.14,19753750.21,1293
8306,590.26,679.45,44861116.36,22430853.31,1262
8307,-5736.13,636.10,42064108.78,21029186.33,1318
8308,5956.80,670.55,43945613.57,21975785.19,1296
8311,7685.42,698.53,46212478.93,23110082.18,1282
8312,14647.58,742.64,49059084.63,24536866.11,1310
8313,-867.30,676.07,44816461.90,22407797.31,1254
8314,-2004.75,594.02,39157547.00,19577771.13,1198
8315,2354.75,653.54,43215610.50,21608982.63,1289
8318,3471.43,654.76,43163943.09,21583707.26,1273
8319,-4839.03,712.69,47016321.24,23505741.10,1308
8320,-7301.79,597.61,39259764.45,19626231.33,1279
8321,6198.15,706.24,46595288.07,23300743.11,1338
8322,2816.74,661.81,43578593.17,21790704.95,1291
8325,7441.83,715.29,47444777.41,23726109.62,1297
