label,fold,n_test,oosR2,rankIC,IC_t,coef_z30
fwdres10,2021,1831883,0.00022768876437784247,0.024193713259703487,10.095867008055224,-3.4260218096842236e-05
fwdres10,2022,1851050,0.0005888100100883698,0.029558684628515717,11.567553468472095,-3.4735297339392764e-05
fwdres10,2023,1810199,0.000317415133381016,0.026364439779198764,13.133981265411135,-3.8550162572699594e-05
fwdres10,2024,1792147,-5.269000117302802e-05,0.021990356845727664,10.47357895687827,-3.7150553290425095e-05
fwdres10,2025,1794660,9.829232186708836e-05,0.02083338435524506,9.722690840007067,-3.0316664188259837e-05
fwdres10,2026,1110047,-0.00016856364114326006,0.011032328890722469,3.7312291078425046,-3.0382517407393905e-05
fwdres15,2021,1806621,0.00015153398108058713,0.02357887079969279,8.654761769684532,-3.908808943720196e-05
fwdres15,2022,1825784,0.0005058267099556923,0.027423901221694667,9.7825853293483,-3.9970544188228366e-05
fwdres15,2023,1785119,0.00023795212484400974,0.025377723563635164,11.34545697001766,-4.276310194998722e-05
fwdres15,2024,1767235,-8.76759213317424e-05,0.021478382113088248,9.260996137119855,-4.094521836605414e-05
fwdres15,2025,1769980,8.721815262491273e-05,0.020147466455992802,8.586575974645461,-3.194793833644303e-05
fwdres15,2026,1095075,-0.00017307175777281358,0.00998988116656367,2.9720441721204063,-3.275653599730284e-05
fwdres30,2021,1731394,-2.027215967537188e-06,0.021833482589385632,6.5453958751883,-4.242844112611938e-05
fwdres30,2022,1750305,0.00034536180002919803,0.025914232000970375,7.662731201467291,-3.801054167609898e-05
fwdres30,2023,1710466,1.5045888537623675e-05,0.020778037071319456,7.528208593763771,-4.174823438659487e-05
fwdres30,2024,1693399,5.440481844931622e-05,0.02434365009181041,8.939535526636751,-4.006113376801262e-05
fwdres30,2025,1696542,-3.0037622440470813e-06,0.015813221083540465,5.35508723672469,-3.0083848031831714e-05
fwdres30,2026,1050217,-0.00017899963023548793,0.007191874703192432,1.6735976666208505,-3.1153961758269316e-05
