qdate,gross,fees,traded,sold,trades
7681,-1942.87,160.60,10718063.89,5358060.51,253
7682,4787.30,138.24,9204913.05,4604850.18,237
7683,-421.97,148.46,10021056.61,5010317.32,257
7684,-4882.16,152.55,10260769.80,5127943.82,243
7685,-427.78,170.96,11346589.72,5673080.97,246
7689,2665.98,154.86,10414100.89,5208383.44,252
7690,310.77,167.88,11265990.63,5633150.70,251
7691,1209.28,166.05,11055807.42,5528508.35,248
7692,2927.57,170.08,11417096.65,5710012.11,241
7695,5179.38,174.90,11611175.46,5808177.42,249
7696,-2647.51,158.02,10531872.32,5264612.41,244
7697,7604.85,144.95,9713814.00,4860709.42,249
7698,3114.00,161.83,10796894.25,5400004.12,245
7699,-696.61,161.98,10785699.28,5392501.34,265
7702,1370.25,156.48,10411471.82,5206421.04,267
7703,336.06,155.95,10378479.49,5189407.77,246
7704,1518.79,163.28,10915205.89,5458362.34,246
7705,3461.68,172.23,11430977.95,5717219.82,236
7706,4637.69,165.07,11198857.17,5601747.43,242
7709,2597.19,149.72,10007629.24,5005113.22,242
7710,1548.58,156.01,10534040.75,5267794.66,245
7711,5598.31,167.90,11147073.46,5576335.88,250
7712,823.06,184.27,12342857.73,6171840.39,260
7713,2270.19,152.43,10138510.72,5070390.46,242
7717,300.45,164.15,10938937.07,5469618.76,248
7718,865.21,178.55,12020805.25,6010835.23,251
7719,492.65,151.15,10113711.22,5057101.94,251
7720,-1414.17,138.67,9231349.78,4614967.80,244
7723,-4140.06,169.14,11367396.59,5681628.26,241
7724,-3235.92,158.64,10612763.47,5304763.78,251
7725,1201.49,147.05,9864384.87,4932793.18,246
7726,2692.41,159.31,10692463.42,5347577.92,236
7727,3621.97,152.60,10222922.28,5113272.13,248
7730,-2960.49,147.27,9960451.10,4978745.31,241
7731,-7488.05,162.54,10890642.01,5441576.97,246
7732,2787.82,196.29,13150444.65,6576616.23,261
7733,1704.16,158.56,10513955.50,5257829.83,247
7734,6823.00,178.77,11954166.66,5980494.83,255
7737,1270.59,159.95,10720724.23,5360997.41,257
7738,4773.94,160.65,10731992.31,5368383.13,239
7739,-6040.62,159.50,10694203.55,5344081.47,238
7740,2200.20,136.06,9038318.44,4520259.32,238
7741,-970.34,153.53,10206636.64,5121614.62,251
7744,3782.45,158.96,10730754.59,5367268.52,242
7745,-1846.88,137.86,9235665.90,4616909.51,240
7746,-1553.85,159.12,10679362.63,5338904.39,242
7747,-8770.38,173.94,11656639.65,5823934.63,255
7748,1811.23,139.69,9396883.25,4699347.24,258
7751,-5121.43,171.80,11453503.82,5724191.20,258
7752,-2081.65,184.86,12432770.86,6215344.60,262
7753,2368.72,183.48,12350239.24,6176303.98,247
7754,-5254.36,150.75,10084936.79,5039841.22,265
7755,574.98,173.44,11651064.83,5825819.91,259
7758,3960.11,199.82,13454505.29,6729232.70,256
